Numero,Titulo,Tutorial,Combinación,Titulo para word,Covers,ListCovers,ListTutorial
10051,A Mi Manera(Vicente Fernandez),https://youtu.be/hfhOWKQjMP8,"Song('A Mi Manera(Vicente Fernandez)10051', 'https://youtu.be/hfhOWKQjMP8'),",A Mi Manera(Vicente Fernandez)10051,https://youtu.be/MPEn___y4Jw,"Cover('A Mi Manera(Vicente Fernandez)10051', 'https://youtu.be/MPEn___y4Jw'),","Tutoriales('A Mi Manera(Vicente Fernandez)10051', 'https://youtu.be/hfhOWKQjMP8'),"
10009,Aint No Sunshine(Bill Withers),https://youtu.be/eKjiHRKak80,"Song('Aint No Sunshine(Bill Withers)10009', 'https://youtu.be/eKjiHRKak80'),",Aint No Sunshine(Bill Withers)10009,https://youtu.be/R6qLZrZOzy8,"Cover('Aint No Sunshine(Bill Withers)10009', 'https://youtu.be/R6qLZrZOzy8'),","Tutoriales('Aint No Sunshine(Bill Withers)10009', 'https://youtu.be/eKjiHRKak80'),"
10007,Almohada(José José),https://youtu.be/5o4nAVP5kZQ,"Song('Almohada(José José)10007', 'https://youtu.be/5o4nAVP5kZQ'),",Almohada(José José)10007,,,"Tutoriales('Almohada(José José)10007', 'https://youtu.be/5o4nAVP5kZQ'),"
10024,Amigo(Roberto Carlos),https://youtu.be/E-KktTv0aic,"Song('Amigo(Roberto Carlos)10024', 'https://youtu.be/E-KktTv0aic'),",Amigo(Roberto Carlos)10024,https://youtu.be/eM3pvCPLwMc,"Cover('Amigo(Roberto Carlos)10024', 'https://youtu.be/eM3pvCPLwMc'),","Tutoriales('Amigo(Roberto Carlos)10024', 'https://youtu.be/E-KktTv0aic'),"
10042,Amor del Bueno(Reyli Barba),https://youtu.be/zj5W1KFIUig,"Song('Amor del Bueno(Reyli Barba)10042', 'https://youtu.be/zj5W1KFIUig'),",Amor del Bueno(Reyli Barba)10042,https://youtu.be/aksRPHiwFf8,"Cover('Amor del Bueno(Reyli Barba)10042', 'https://youtu.be/aksRPHiwFf8'),","Tutoriales('Amor del Bueno(Reyli Barba)10042', 'https://youtu.be/zj5W1KFIUig'),"
10014,Amor Eterno(Juan Gabriel),https://youtu.be/nEVviclBJnA,"Song('Amor Eterno(Juan Gabriel)10014', 'https://youtu.be/nEVviclBJnA'),",Amor Eterno(Juan Gabriel)10014,,,"Tutoriales('Amor Eterno(Juan Gabriel)10014', 'https://youtu.be/nEVviclBJnA'),"
10068,Amores Lejanos(Enanitos Verdes),,"Song('Amores Lejanos(Enanitos Verdes)10068', ''),",Amores Lejanos(Enanitos Verdes)10068,https://youtu.be/jdF8QT_xvWA,"Cover('Amores Lejanos(Enanitos Verdes)10068', 'https://youtu.be/jdF8QT_xvWA'),","Tutoriales('Amores Lejanos(Enanitos Verdes)10068', ''),"
10069,Anhelante(Gualberto Ibarreto),,"Song('Anhelante(Gualberto Ibarreto)10069', ''),",Anhelante(Gualberto Ibarreto)10069,https://youtu.be/QKpzGv9QV-Y,"Cover('Anhelante(Gualberto Ibarreto)10069', 'https://youtu.be/QKpzGv9QV-Y'),","Tutoriales('Anhelante(Gualberto Ibarreto)10069', ''),"
10030,Arrullo de Estrellas(Zoé),https://youtu.be/-3Tx8dSj_B4,"Song('Arrullo de Estrellas(Zoé)10030', 'https://youtu.be/-3Tx8dSj_B4'),",Arrullo de Estrellas(Zoé)10030,https://youtu.be/kVTvRey5ifA,"Cover('Arrullo de Estrellas(Zoé)10030', 'https://youtu.be/kVTvRey5ifA'),","Tutoriales('Arrullo de Estrellas(Zoé)10030', 'https://youtu.be/-3Tx8dSj_B4'),"
10065,Baby Can I Hold You(Tracy Chapman),,"Song('Baby Can I Hold You(Tracy Chapman)10065', ''),",Baby Can I Hold You(Tracy Chapman)10065,https://youtu.be/s8ka2ProbBA,"Cover('Baby Can I Hold You(Tracy Chapman)10065', 'https://youtu.be/s8ka2ProbBA'),","Tutoriales('Baby Can I Hold You(Tracy Chapman)10065', ''),"
